instance,algorithm,seed,objv
LA7,IBS_CN,4,246
LA2,IBS_CN,1,190
LA5,IBS_CN,3,226
LB4,IBS_CN,7,227
LB7,IBS_CN,2,255
LA7,IBS_CN,7,247
LA0,IBS_CN,6,189
LB4,IBS_CN,2,226
LB4,IBS_CN,6,226
LB7,IBS_CN,3,255
LB1,IBS_CN,4,198
LA4,IBS_CN,5,216
LB0,IBS_CN,1,196
LB6,IBS_CN,9,249
LA0,IBS_CN,1,189
LA6,IBS_CN,1,239
LB5,IBS_CN,8,235
LA1,IBS_CN,4,189
LA3,IBS_CN,9,207
LA4,IBS_CN,6,216
LA5,IBS_CN,1,226
LA6,IBS_CN,8,239
LB1,IBS_CN,3,199
LB3,IBS_CN,2,214
LA1,IBS_CN,6,189
LA1,IBS_CN,10,189
LA3,IBS_CN,6,207
LB6,IBS_CN,5,249
LA6,IBS_CN,2,239
LA7,IBS_CN,9,247
LB2,IBS_CN,5,197
LB1,IBS_CN,6,199
LB2,IBS_CN,1,197
LB3,IBS_CN,6,213
LB1,IBS_CN,8,198
LB4,IBS_CN,4,227
LB7,IBS_CN,1,255
LB0,IBS_CN,8,196
LA2,IBS_CN,2,191
LA1,IBS_CN,7,189
LA5,IBS_CN,7,226
LA6,IBS_CN,7,239
LA0,IBS_CN,2,189
LB3,IBS_CN,4,214
LB4,IBS_CN,8,226
LA1,IBS_CN,2,189
LA2,IBS_CN,4,191
LA3,IBS_CN,2,207
LA6,IBS_CN,3,239
LB2,IBS_CN,3,198
LA4,IBS_CN,4,216
LB7,IBS_CN,10,254
LA2,IBS_CN,5,190
LB1,IBS_CN,2,199
LB1,IBS_CN,7,199
LB2,IBS_CN,7,197
LB7,IBS_CN,7,254
LB3,IBS_CN,10,213
LA3,IBS_CN,5,207
LB4,IBS_CN,9,227
LA4,IBS_CN,3,216
LB5,IBS_CN,5,236
LB0,IBS_CN,6,197
LB1,IBS_CN,1,199
LB5,IBS_CN,7,236
LB5,IBS_CN,10,235
LA6,IBS_CN,4,239
LB2,IBS_CN,2,197
LB6,IBS_CN,10,249
LB6,IBS_CN,1,249
LA3,IBS_CN,7,207
LB3,IBS_CN,8,214
LA5,IBS_CN,8,226
LB7,IBS_CN,6,255
LA5,IBS_CN,4,226
LA4,IBS_CN,10,216
LA5,IBS_CN,9,226
LA1,IBS_CN,3,189
LB5,IBS_CN,9,236
LB7,IBS_CN,5,255
LB4,IBS_CN,10,226
LA1,IBS_CN,8,189
LA5,IBS_CN,2,226
LB6,IBS_CN,7,250
LB1,IBS_CN,9,198
LB0,IBS_CN,4,197
LA2,IBS_CN,7,190
LA0,IBS_CN,4,189
LB5,IBS_CN,1,235
LA2,IBS_CN,3,191
LB7,IBS_CN,9,254
LB0,IBS_CN,9,197
LA4,IBS_CN,9,216
LB0,IBS_CN,5,196
LA4,IBS_CN,1,216
LB7,IBS_CN,4,255
LA5,IBS_CN,10,226
LA0,IBS_CN,7,189
LA3,IBS_CN,4,207
LA7,IBS_CN,3,247
LB0,IBS_CN,3,197
LA7,IBS_CN,10,246
LB2,IBS_CN,8,197
LB6,IBS_CN,2,249
LA1,IBS_CN,5,189
LB0,IBS_CN,10,197
LB3,IBS_CN,3,213
LA3,IBS_CN,8,207
LA6,IBS_CN,6,239
LB2,IBS_CN,6,197
LB0,IBS_CN,7,197
LB6,IBS_CN,4,251
LB7,IBS_CN,8,255
LB4,IBS_CN,3,226
LA0,IBS_CN,8,189
LB0,IBS_CN,2,196
LB1,IBS_CN,5,199
LA7,IBS_CN,1,247
LA4,IBS_CN,2,216
LB4,IBS_CN,1,226
LB3,IBS_CN,7,213
LA5,IBS_CN,5,226
LB2,IBS_CN,10,197
LB6,IBS_CN,6,249
LA1,IBS_CN,9,189
LA3,IBS_CN,1,207
LA2,IBS_CN,6,190
LA0,IBS_CN,9,189
LA2,IBS_CN,10,191
LB5,IBS_CN,3,236
LA0,IBS_CN,5,189
LA3,IBS_CN,10,207
LA0,IBS_CN,3,189
LA4,IBS_CN,7,216
LB5,IBS_CN,2,235
LA2,IBS_CN,9,190
LA0,IBS_CN,10,189
LA7,IBS_CN,5,246
LB3,IBS_CN,5,214
LA4,IBS_CN,8,216
LB3,IBS_CN,1,213
LA1,IBS_CN,1,189
LA2,IBS_CN,8,191
LA6,IBS_CN,9,239
LB5,IBS_CN,4,235
LA7,IBS_CN,2,246
LA3,IBS_CN,3,207
LA6,IBS_CN,10,240
LB4,IBS_CN,5,227
LA6,IBS_CN,5,239
LB1,IBS_CN,10,199
LA7,IBS_CN,6,246
LB6,IBS_CN,8,249
LB3,IBS_CN,9,214
LB2,IBS_CN,4,197
LB6,IBS_CN,3,249
LA7,IBS_CN,8,246
LB2,IBS_CN,9,198
LA5,IBS_CN,6,226
LB5,IBS_CN,6,235
LB0,IBS_FN,7,196
LB4,IBS_FN,9,226
LB1,IBS_FN,10,196
LA3,IBS_FN,6,207
LA3,IBS_FN,5,207
LA0,IBS_FN,6,189
LB4,IBS_FN,7,226
LB0,IBS_FN,4,196
LB2,IBS_FN,9,197
LB2,IBS_FN,1,197
LB3,IBS_FN,3,213
LB1,IBS_FN,1,196
LA4,IBS_FN,2,216
LA4,IBS_FN,1,216
LB6,IBS_FN,6,249
LB3,IBS_FN,6,213
LB5,IBS_FN,5,235
LB6,IBS_FN,4,249
LB3,IBS_FN,7,213
LB7,IBS_FN,7,253
LA7,IBS_FN,9,246
LA0,IBS_FN,7,189
LB4,IBS_FN,4,226
LA3,IBS_FN,1,207
LB3,IBS_FN,9,213
LB1,IBS_FN,7,196
LB2,IBS_FN,6,197
LB0,IBS_FN,2,196
LB6,IBS_FN,5,249
LA1,IBS_FN,10,189
LA0,IBS_FN,5,189
LB7,IBS_FN,8,253
LB3,IBS_FN,4,213
LB6,IBS_FN,8,249
LA2,IBS_FN,9,190
LA5,IBS_FN,7,226
LB4,IBS_FN,5,226
LA7,IBS_FN,1,246
LB6,IBS_FN,7,249
LB4,IBS_FN,3,226
LB6,IBS_FN,10,249
LB3,IBS_FN,2,213
LA6,IBS_FN,7,239
LB4,IBS_FN,8,226
LA7,IBS_FN,7,246
LA2,IBS_FN,7,190
LB0,IBS_FN,9,196
LB5,IBS_FN,2,235
LB7,IBS_FN,10,253
LA0,IBS_FN,8,189
LB1,IBS_FN,8,196
LB2,IBS_FN,4,197
LA6,IBS_FN,2,239
