instance,bkv
Large_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,1107.0
Large_Moderate_Light_High_Moderate_Few_Early_VeryLate_123,1226.0
Large_Moderate_Light_High_Moderate_Many_Early_VeryLate_123,1095.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,615.0
Medium_Moderate_Light_High_Moderate_Few_Early_VeryLate_123,668.0
Medium_Moderate_Light_High_Moderate_Many_Early_VeryLate_123,567.0
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,273.0
Small_Moderate_Light_High_Moderate_Few_Early_VeryLate_123,282.0
Small_Moderate_Light_High_Moderate_Many_Early_VeryLate_123,270.0
Huge_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,5961.0
Huge_Moderate_Light_High_Moderate_Few_Early_VeryLate_123,5877.0
Huge_Moderate_Light_High_Moderate_Many_Early_VeryLate_123,4547.0
Medium_Moderate_Light_High_Moderate_Moderate_Late_VeryLate_123,638.0
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,684.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_Early_123,457.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,474.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,436.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,814.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,338.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,795.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,741.0
Medium_Moderate_Moderate_High_Moderate_Moderate_Early_VeryLate_123,557.0
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,598.0
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,607.0
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,564.0
Medium_Flat_Moderate_High_Moderate_Moderate_Early_VeryLate_123,611.0
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,601.0
Medium_Steep_Moderate_High_Moderate_Moderate_Early_VeryLate_123,522.0
Medium_Steep_Strong_High_Moderate_Moderate_Early_VeryLate_123,557.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,848.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,504.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,845.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,398.0
Medium_Moderate_Light_High_Moderate_Moderate_Late_Early_123,493.0
Medium_Moderate_Light_High_Moderate_Moderate_Late_Late_123,524.0
Medium_Moderate_Light_High_Moderate_Moderate_Late_VeryEarly_123,451.0
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_Early_123,533.0
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_Late_123,581.0
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,508.0
