instance,algorithm,seed,objv,lb,bkv,bklb,grid,distribution
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,3,323.0,176.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,10,339.0,174.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,9,339.0,166.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,1,273.0,172.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,8,353.0,127.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,4,342.0,172.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,2,353.0,126.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,5,344.0,126.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,6,316.0,128.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,7,275.0,127.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS_1,3,273.0,0.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS_1,6,273.0,0.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS_1,9,273.0,0.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS_1,8,273.0,0.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS_1,5,273.0,0.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS_1,10,273.0,0.0,273.0,237.0,20x20,10
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS_1,2,273.0,0.0,273.0,237.0,20x20,10
