instance,algorithm,seed,objv,lb,bkv,bklb,delay,num_resources
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,10,826.0,406.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,8,821.0,369.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,6,837.0,410.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,1,794.0,388.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,9,786.0,382.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,5,792.0,374.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,4,816.0,388.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,3,818.0,375.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,7,772.0,367.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,2,762.0,413.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,IBS,4,747.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,IBS,10,741.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,IBS,3,749.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,IBS,8,741.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,IBS,6,747.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,IBS,9,744.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,IBS,5,745.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,IBS,2,747.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,IBS,7,745.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,IBS,1,746.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,CUTH,4,822.0,0.0,741.0,413.0,Medium,Moderate
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,CUTH,8,822.0,0.0,741.0,413.0,Medium,Moderate
