instance,algorithm,seed,objv
LB3,IBS_0,8,213
LB2,IBS_0,6,197
LA7,IBS_0,3,246
LB7,IBS_0,4,253
LA7,IBS_0,10,246
LB6,IBS_0,5,256
LB1,IBS_0,4,196
LB0,IBS_0,1,196
LB0,IBS_0,7,196
LA1,IBS_0,3,189
LB4,IBS_0,7,226
LA6,IBS_0,3,254
LA2,IBS_0,5,190
LB6,IBS_0,9,256
LA4,IBS_0,7,217
LB1,IBS_0,8,196
LA3,IBS_0,10,207
LA7,IBS_0,2,246
LA7,IBS_0,7,246
LB2,IBS_0,3,197
LA2,IBS_0,1,190
LA5,IBS_0,6,226
LB4,IBS_0,6,226
LB3,IBS_0,4,213
LA0,IBS_0,4,189
LA0,IBS_0,5,189
LB0,IBS_0,5,196
LA0,IBS_0,1,189
LB2,IBS_0,8,197
LA4,IBS_0,4,216
LA2,IBS_0,3,190
LB5,IBS_0,10,235
LB7,IBS_0,8,253
LA6,IBS_0,6,254
LB3,IBS_0,7,213
LA1,IBS_0,6,189
LA5,IBS_0,7,226
LB0,IBS_0,2,196
LA5,IBS_0,5,226
LB4,IBS_0,9,226
LB0,IBS_0,9,196
LA2,IBS_0,8,190
LA7,IBS_0,5,246
LB4,IBS_0,8,226
LA4,IBS_0,2,216
LA4,IBS_0,10,216
LA0,IBS_0,9,189
LB7,IBS_0,6,253
LA5,IBS_0,2,226
LB6,IBS_0,4,256
LA1,IBS_0,9,189
LB7,IBS_0,3,253
LA3,IBS_0,6,207
LB3,IBS_0,5,213
LA3,IBS_0,2,207
LB3,IBS_0,9,213
LA4,IBS_0,6,216
LA1,IBS_0,2,189
LB3,IBS_0,10,213
LB5,IBS_0,4,235
LB7,IBS_0,10,253
LB6,IBS_0,7,256
LA6,IBS_0,7,254
LA1,IBS_0,10,189
LB0,IBS_0,4,196
LB6,IBS_0,2,256
LA2,IBS_0,10,190
LA6,IBS_0,2,253
LB4,IBS_0,2,226
LB5,IBS_0,7,235
LB4,IBS_0,3,226
LB0,IBS_0,10,196
LA3,IBS_0,1,207
LB7,IBS_0,9,253
LB2,IBS_0,9,197
LA5,IBS_0,8,226
LA0,IBS_0,7,189
LB0,IBS_0,8,196
LB1,IBS_0,9,196
LB5,IBS_0,2,235
LB5,IBS_0,8,235
LA4,IBS_0,1,216
LB3,IBS_0,2,213
LB3,IBS_0,1,213
LB3,IBS_0,6,213
LB6,IBS_0,8,256
LB5,IBS_0,3,235
LA4,IBS_0,3,216
LB6,IBS_0,3,256
LA2,IBS_0,4,190
LA1,IBS_0,5,189
LA2,IBS_0,6,190
LA5,IBS_0,9,226
LA6,IBS_0,4,252
LA7,IBS_0,4,246
LB4,IBS_0,4,226
LB0,IBS_0,3,196
LB2,IBS_0,1,197
LB5,IBS_0,5,235
LA0,IBS_0,6,189
LB1,IBS_0,7,196
LA3,IBS_0,8,207
LA4,IBS_0,5,216
LB2,IBS_0,5,197
LA6,IBS_0,9,254
LB5,IBS_0,6,235
LB1,IBS_0,5,196
LA1,IBS_0,4,189
LB2,IBS_0,2,197
LA6,IBS_0,5,254
LA5,IBS_0,3,226
LB4,IBS_0,10,226
LA7,IBS_0,1,246
LB7,IBS_0,1,253
LB1,IBS_0,6,196
LA4,IBS_0,9,216
LB2,IBS_0,7,197
LA3,IBS_0,7,207
LA7,IBS_0,6,246
LB4,IBS_0,5,226
LA1,IBS_0,1,189
LA6,IBS_0,8,254
LA7,IBS_0,9,247
LB6,IBS_0,10,256
LA0,IBS_0,2,189
LA2,IBS_0,9,190
LB4,IBS_0,1,226
LA5,IBS_0,1,226
LB2,IBS_0,10,197
LA0,IBS_0,8,189
LA0,IBS_0,3,189
LB1,IBS_0,1,196
LB2,IBS_0,4,197
LB7,IBS_0,2,253
LA5,IBS_0,10,226
LB6,IBS_0,6,254
LA4,IBS_0,8,216
LA5,IBS_0,4,226
LA3,IBS_0,5,207
LB0,IBS_0,6,196
LA6,IBS_0,1,254
LA3,IBS_0,9,207
LA2,IBS_0,7,190
LB7,IBS_0,5,253
LB1,IBS_0,10,196
LA1,IBS_0,7,189
LA3,IBS_0,4,207
LB3,IBS_0,3,213
LB5,IBS_0,9,235
LB5,IBS_0,1,235
LA2,IBS_0,2,190
LB6,IBS_0,1,256
LA1,IBS_0,8,189
LB1,IBS_0,3,196
LA6,IBS_0,10,252
LA0,IBS_0,10,189
LA7,IBS_0,8,246
LA3,IBS_0,3,207
LB1,IBS_0,2,196
LB7,IBS_0,7,253
LA5,IBS_02,5,226
LB0,IBS_02,5,196
LB2,IBS_02,1,197
LA6,IBS_02,6,239
LB5,IBS_02,4,235
LB3,IBS_02,4,213
LA3,IBS_02,4,207
LB1,IBS_02,6,196
LB0,IBS_02,7,196
LA3,IBS_02,7,207
LA1,IBS_02,9,189
LA2,IBS_02,5,190
LB2,IBS_02,7,197
LA2,IBS_02,10,190
LB3,IBS_02,9,213
LA2,IBS_02,1,190
LA4,IBS_02,1,217
LA2,IBS_02,8,190
LB6,IBS_02,6,249
LB7,IBS_02,4,253
LB2,IBS_02,3,197
LA0,IBS_02,3,189
LB4,IBS_02,7,226
LB2,IBS_02,2,197
LA6,IBS_02,9,239
LB1,IBS_02,9,196
LB1,IBS_02,5,196
LB4,IBS_02,1,226
