instance,algorithm,seed,objv,lb,bkv,bklb,slope,wind
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,3,820.0,206.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,4,821.0,199.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,10,804.0,203.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,1,774.0,202.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,9,768.0,208.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,5,766.0,272.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,6,771.0,275.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,7,795.0,279.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,8,795.0,200.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,2,838.0,204.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,10,610.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,1,610.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,5,608.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,9,610.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,7,610.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,6,607.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,8,610.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,2,610.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,4,610.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,3,610.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,4,814.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,3,814.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,7,814.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,6,814.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,8,814.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,10,814.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,9,814.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,1,814.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,5,814.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,2,814.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,5,836.0,463.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,10,850.0,461.0,607.0,480.0,Flat,Light
