instance,algorithm,seed,objv,lb,bkv,bklb,first_release_time,last_release_time
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,1,834.0,260.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,2,771.0,189.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,5,752.0,186.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,7,817.0,186.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,6,683.0,186.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,3,816.0,185.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,4,752.0,188.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,10,742.0,189.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,8,814.0,193.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,9,808.0,203.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,6,622.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,2,620.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,7,617.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,1,620.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,9,622.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,4,616.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,3,615.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,10,623.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,8,615.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,5,617.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,9,822.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,5,822.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,6,822.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,3,822.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,8,822.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,10,822.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,4,822.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,7,822.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,1,822.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,2,822.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,10,819.0,432.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,6,785.0,430.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,4,898.0,422.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,8,842.0,435.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,7,900.0,437.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,5,762.0,442.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,9,894.0,437.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,3,900.0,436.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,2,840.0,442.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,1,898.0,409.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,7,894.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,3,898.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,5,891.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,8,898.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,1,899.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,2,891.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,10,893.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,4,896.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,9,849.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,6,855.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,RS,1,867.0,0.0,615.0,443.0,Early,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,MIP,4,813.0,436.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,MIP,5,861.0,524.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,MIP,9,684.0,515.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,MIP,2,752.0,521.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,MIP,1,752.0,514.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,MIP,8,783.0,515.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,MIP,6,766.0,517.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,MIP,7,823.0,521.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,MIP,3,747.0,513.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,MIP,10,788.0,519.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,IBS,10,684.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,IBS,9,684.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,IBS,1,684.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,IBS,8,684.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,IBS,6,684.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,IBS,7,684.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,IBS,2,684.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,IBS,5,684.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,IBS,3,684.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,IBS,4,684.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,CUTH,1,824.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,CUTH,2,824.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,CUTH,9,824.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,CUTH,3,824.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,CUTH,10,824.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,CUTH,7,824.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,CUTH,8,824.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,CUTH,4,824.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,CUTH,5,824.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,CUTH,6,824.0,0.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,LBBD,3,814.0,593.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,LBBD,4,826.0,583.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,LBBD,1,897.0,585.0,684.0,593.0,VeryLate,VeryLate
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,LBBD,6,882.0,582.0,684.0,593.0,VeryLate,VeryLate
